no,week,totsleep,deepsleep,lightsleep,awake,dailydistance,dailystep,caloriesb,walkdist,walkmin,caloriesb
1,11,465,252,213,18,4965,6203,278,4849,85,272
2,11,347,197,150,0,6539,8455,365,6272,105,351
3,11,532,236,296,11,5732,7090,327,5503,97,314

