Day,Google Chrome,Matlab,Inotebook,Papers,Gmail,Facebook,Youtube,Music,Terminal,Sublime,Locked Screen,Latex,Misc,total sleep,deep sleep,light sleep,awake,daily distance,daily steps,daily calories burned,walk distance,walk minutes,walk calories,ScoreValuePOS,ScoreValueNEG
1,2358,0,0,54,2,76,0,126,936,594,2150,5,7186,496,285,211,8,4691,5943,263,4492,87,252,0.9700709,0.029929
2,6420,0,0,221,87,30,0,126,1211,394,150,5,8182,384,168,216,3,6850,8813,383,6618,116,370,0.2827795,0.71722
3,3333,0,0,133,134,30,0,314,2881,200,150,5,8182,470,274,196,4,9335,11375,512,8952,125,491,0.6305577,0.369442
