Sno,Date,week,total sleep,deep sleep,light sleep,awake,daily distance,daily steps,daily calories burned,walk distance,walk minutes,walk calories
1,20170312,11,392,254,138,3,47,68,2,47,1,2
2,20170313,11,465,252,213,18,4965,6203,278,4849,85,272
3,20170320,11,347,197,150,0,6539,8455,365,6272,105,351
4,20170321,11,532,236,296,11,5732,7090,327,5503,97,314
5,20170322,11,367,191,176,17,2579,3427,148,2155,52,135
6,20170323,11,470,274,196,4,9335,11375,512,8952,125,491
7,20170324,11,384,168,216,3,6850,8813,383,6618,116,370
8,20170325,12,496,285,211,8,4691,5943,263,4492,87,252
