Date,Sentiment,ScoreValuePOS,ScoreValueNEG
,,,
2017+AC0-03+AC0-26,NEG,0.9700709,0.029929
,,,
2017+AC0-03+AC0-25,POS,0.2827795,0.71722
,,,
2017+AC0-03+AC0-23,NEG,0.6305577,0.369442
